"Regionale kerncijfers Nederland"
""
"";"";"Onderwerp"
"";"";"Bevolking|Bevolkingssamenstelling op 1 januari|Totale bevolking";"Bevolking|Bevolkingssamenstelling op 1 januari|Bevolkingsdichtheid";"Milieu en bodemgebruik|Bodemgebruik|Oppervlakte|Land"
"Borger-Odoorn";"2021";"25598";"93";"274,53"
"Born";"2021";"";"";""
"Borne";"2021";"23668";"910";"26,00"
"Borsele";"2021";"22818";"161";"141,57"
"Boskoop";"2021";"";"";""
"Boxmeer";"2021";"29609";"266";"111,44"
"Boxtel";"2021";"32973";"477";"69,08"
"Brakel";"2021";"";"";""
"Breda";"2021";"184126";"1464";"125,74"
"Brederwiede";"2021";"";"";""
"Breukelen";"2021";"";"";""
"Brielle";"2021";"17439";"633";"27,55"
"Broekhuizen";"2021";"";"";""
"Bronckhorst";"2021";"36087";"127";"283,50"
"Brouwershaven";"2021";"";"";""
"Bruinisse";"2021";"";"";""
"Brummen";"2021";"20884";"250";"83,65"
"Brunssum";"2021";"27670";"1604";"17,25"
"Budel";"2021";"";"";""
"Bunnik";"2021";"15341";"415";"36,97"
"Bunschoten";"2021";"22019";"725";"30,38"
"Buren";"2021";"27009";"202";"133,89"
"Bussum";"2021";"";"";""
"Capelle aan den IJssel";"2021";"67319";"4761";"14,14"
"Castricum";"2021";"36086";"726";"49,68"
"Chaam";"2021";"";"";""
"Coevorden";"2021";"35317";"119";"296,07"
"Cothen";"2021";"";"";""
"Cranendonck";"2021";"21001";"275";"76,40"
"Cromstrijen";"2021";"";"";""
"Cuijk";"2021";"25404";"497";"51,16"
"Culemborg";"2021";"29121";"994";"29,29"
"Dalen";"2021";"";"";""
"Dalfsen";"2021";"28901";"175";"165,07"
"Dantumadeel";"2021";"";"";""
"Dantumadiel";"2021";"18943";"224";"84,66"
"Delft";"2021";"103581";"4572";"22,65"
"Delfzijl";"2021";"";"";""
"Denekamp";"2021";"";"";""
"Deurne";"2021";"32437";"277";"116,93"
"Deventer";"2021";"101236";"775";"130,68"
"Didam";"2021";"";"";""
"Diemen";"2021";"31334";"2612";"11,99"
"Diepenheim";"2021";"";"";""
"Diepenveen";"2021";"";"";""
"Diessen";"2021";"";"";""
"Diever";"2021";"";"";""
"Dinkelland";"2021";"26606";"151";"175,71"
"Dinteloord en Prinsenland";"2021";"";"";""
"Dinxperlo";"2021";"";"";""
"Dirksland";"2021";"";"";""
"Dodewaard";"2021";"";"";""
"Doesburg";"2021";"11064";"960";"11,53"
"Doetinchem";"2021";"58270";"737";"79,05"
"Domburg";"2021";"";"";""
"Dongen";"2021";"26368";"902";"29,24"
"Dongeradeel";"2021";"";"";""
"Doorn";"2021";"";"";""
"Dordrecht";"2021";"119115";"1517";"78,54"
"Drechterland";"2021";"19838";"337";"58,89"
"Driebergen-Rijsenburg";"2021";"";"";""
"Drimmelen";"2021";"27325";"287";"95,18"
"Dronten";"2021";"42011";"126";"333,57"
"Drunen";"2021";"";"";""
"Druten";"2021";"18991";"505";"37,64"
"Duiveland";"2021";"";"";""
"Duiven";"2021";"25066";"739";"33,90"
"Den Dungen";"2021";"";"";""
"Dussen";"2021";"";"";""
"Dwingeloo";"2021";"";"";""
"Echt";"2021";"";"";""
"Echteld";"2021";"";"";""
"Echt-Susteren";"2021";"31751";"308";"103,07"
"Edam-Volendam";"2021";"36268";"668";"54,33"
"Ede";"2021";"118530";"373";"318,18"
"Eelde";"2021";"";"";""
"Eemnes";"2021";"9362";"302";"31,04"
"Eemsdelta";"2021";"45587";"170";"267,89"
"Eemsmond";"2021";"";"";""
"Eersel";"2021";"19528";"237";"82,46"
"Egmond";"2021";"";"";""
"Eibergen";"2021";"";"";""
"Eijsden";"2021";"";"";""
"Eijsden-Margraten";"2021";"25900";"334";"77,55"
"Eindhoven";"2021";"235691";"2689";"87,66"
"Elburg";"2021";"23429";"367";"63,82"
"Elst";"2021";"";"";""
"Emmen";"2021";"107024";"319";"335,18"
"Enkhuizen";"2021";"18637";"1469";"12,68"
"Enschede";"2021";"159732";"1134";"140,83"
"Epe";"2021";"33198";"213";"156,07"
"Ermelo";"2021";"27016";"315";"85,63"
"Esch";"2021";"";"";""
"Etten-Leur";"2021";"43869";"793";"55,30"
"Ferwerderadeel";"2021";"";"";""
"Ferwerderadiel";"2021";"";"";""
"Fijnaart en Heijningen";"2021";"";"";""
"Franekeradeel";"2021";"";"";""
"De Friese Meren";"2021";"";"";""
"De Fryske Marren";"2021";"51778";"147";"351,29"
"Gaasterlân-Sleat";"2021";"";"";""
"Gasselte";"2021";"";"";""
"Geertruidenberg";"2021";"21770";"817";"26,63"
"Geldermalsen";"2021";"";"";""
"Geldrop";"2021";"";"";""
"Geldrop-Mierlo";"2021";"40066";"1292";"31,01"
"Geleen";"2021";"";"";""
"Gemert";"2021";"";"";""
"Gemert-Bakel";"2021";"30760";"252";"122,14"
"Gendringen";"2021";"";"";""
"Gendt";"2021";"";"";""
"Genemuiden";"2021";"";"";""
"Gennep";"2021";"17035";"358";"47,62"
"Giessenlanden";"2021";"";"";""
"Gieten";"2021";"";"";""
"Gilze en Rijen";"2021";"26723";"409";"65,38"
"Goedereede";"2021";"";"";""
"Goeree-Overflakkee";"2021";"50589";"194";"260,48"
"Goes";"2021";"38594";"417";"92,58"
"Goirle";"2021";"23952";"557";"42,99"
"Gooise Meren";"2021";"58524";"1407";"41,59"
"Goor";"2021";"";"";""
"Gorinchem";"2021";"37410";"1987";"18,83"
"Gorssel";"2021";"";"";""
"Gouda";"2021";"73681";"4464";"16,50"
"Graafstroom";"2021";"";"";""
"Graft-De Rijp";"2021";"";"";""
"Gramsbergen";"2021";"";"";""
"Grave";"2021";"12486";"459";"27,18"
"'s-Graveland";"2021";"";"";""
"'s-Gravendeel";"2021";"";"";""
"'s-Gravenhage (gemeente)";"2021";"548320";"6650";"82,45"
"'s-Gravenmoer";"2021";"";"";""
"'s-Gravenzande";"2021";"";"";""
"Groenlo";"2021";"";"";""
"Groesbeek";"2021";"";"";""
"Groningen (gemeente)";"2021";"233273";"1257";"185,60"
"Grootegast";"2021";"";"";""
"Grubbenvorst";"2021";"";"";""
"Gulpen";"2021";"";"";""
"Gulpen-Wittem";"2021";"14206";"194";"73,18"
"Haaksbergen";"2021";"24229";"231";"104,82"
"Haaren";"2021";"";"";""
"Haarlem";"2021";"162543";"5573";"29,17"
"Haarlemmerliede en Spaarnwoude";"2021";"";"";""
"Haarlemmermeer";"2021";"157789";"799";"197,48"
"Haelen";"2021";"";"";""
"Halderberge";"2021";"30430";"409";"74,47"
"Halsteren";"2021";"";"";""
"Den Ham";"2021";"";"";""
"Hardenberg";"2021";"61357";"196";"312,28"
"Harderwijk";"2021";"48726";"1253";"38,89"
"Hardinxveld-Giessendam";"2021";"18413";"1089";"16,91"
"Haren";"2021";"";"";""
"Harenkarspel";"2021";"";"";""
"Harlingen";"2021";"15807";"633";"24,96"
"Harmelen";"2021";"";"";""
"Hasselt";"2021";"";"";""
"Hattem";"2021";"12228";"530";"23,08"
"Havelte";"2021";"";"";""
"Hedel";"2021";"";"";""
"Heel";"2021";"";"";""
"Heemskerk";"2021";"39191";"1434";"27,34"
"Heemstede";"2021";"27545";"3001";"9,18"
"Heerde";"2021";"18776";"238";"78,74"
"Heerenveen";"2021";"50650";"266";"190,09"
"Heerewaarden";"2021";"";"";""
"Heerhugowaard";"2021";"58387";"1528";"38,21"
"Heerjansdam";"2021";"";"";""
"Heerlen";"2021";"86936";"1935";"44,94"
"Heesch";"2021";"";"";""
"Heeze";"2021";"";"";""
"Heeze-Leende";"2021";"16243";"156";"104,02"
"Heiloo";"2021";"24144";"1291";"18,70"
"Heino";"2021";"";"";""
"Helden";"2021";"";"";""
"Den Helder";"2021";"56582";"1250";"45,25"
"Hellendoorn";"2021";"35932";"261";"137,91"
"Hellevoetsluis";"2021";"40312";"981";"41,10"
"Helmond";"2021";"92627";"1742";"53,18"
"Helvoirt";"2021";"";"";""
"Hendrik-Ido-Ambacht";"2021";"31258";"2945";"10,61"
"Hengelo (Gld.)";"2021";"";"";""
"Hengelo (O.)";"2021";"81049";"1332";"60,84"
"'s-Hertogenbosch";"2021";"155490";"1414";"109,99"
"Heteren";"2021";"";"";""
"Heumen";"2021";"16569";"417";"39,76"
"Heusden";"2021";"45005";"571";"78,88"
"Heythuysen";"2021";"";"";""
"Hillegom";"2021";"22197";"1724";"12,87"
"Hilvarenbeek";"2021";"15698";"166";"94,85"
"Hilversum";"2021";"91235";"2000";"45,61"
"Hoeksche Waard";"2021";"88047";"327";"268,93"
"Hoevelaken";"2021";"";"";""
"Hoeven";"2021";"";"";""
"Hof van Twente";"2021";"35040";"165";"212,56"
"Het Hogeland";"2021";"47834";"99";"482,49"
"Hollands Kroon";"2021";"48583";"136";"357,34"
"Holten";"2021";"";"";""
"Hontenisse";"2021";"";"";""
"Hooge en Lage Mierde";"2021";"";"";""
"Hooge en Lage Zwaluwe";"2021";"";"";""
"Hoogeloon, Hapert en Casteren";"2021";"";"";""
"Hoogeveen";"2021";"55603";"436";"127,54"
"Hoogezand-Sappemeer";"2021";"";"";""
"Hoorn";"2021";"73619";"3613";"20,38"
"Horst";"2021";"";"";""
"Horst aan de Maas";"2021";"42487";"225";"188,73"
"Houten";"2021";"50223";"914";"54,94"
"Huijbergen";"2021";"";"";""
"Huissen";"2021";"";"";""
"Huizen";"2021";"41090";"2600";"15,81"
"Hulst";"2021";"27575";"137";"201,71"
"Hummelo en Keppel";"2021";"";"";""
"Hunsel";"2021";"";"";""
"IJsselham";"2021";"";"";""
"IJsselmuiden";"2021";"";"";""
"IJsselstein";"2021";"33819";"1605";"21,07"
"Jacobswoude";"2021";"";"";""
"Kaag en Braassem";"2021";"27541";"435";"63,24"
"Kampen";"2021";"54474";"383";"142,18"
"Kapelle";"2021";"12882";"347";"37,13"
"Katwijk";"2021";"65995";"2667";"24,75"
"Kerkrade";"2021";"45442";"2074";"21,91"
"Kerkwijk";"2021";"";"";""
"Kessel";"2021";"";"";""
"Kesteren";"2021";"";"";""
"Klundert";"2021";"";"";""
"Koggenland";"2021";"22940";"286";"80,32"
"Kollumerland en Nieuwkruisland";"2021";"";"";""
"Korendijk";"2021";"";"";""
"Krimpen aan den IJssel";"2021";"29410";"3826";"7,69"
"Krimpenerwaard";"2021";"56622";"382";"148,40"
"Laarbeek";"2021";"22805";"412";"55,35"
"Landerd";"2021";"15817";"225";"70,35"
"Landgraaf";"2021";"37262";"1516";"24,58"
"Landsmeer";"2021";"11565";"513";"22,53"
"Langbroek";"2021";"";"";""
"Langedijk";"2021";"28335";"1186";"23,88"
"Lansingerland";"2021";"63363";"1186";"53,42"
"Laren (NH.)";"2021";"11398";"918";"12,41"
"Leek";"2021";"";"";""
"Leende";"2021";"";"";""
"Leerdam";"2021";"";"";""
"Leersum";"2021";"";"";""
"Leeuwarden";"2021";"124481";"523";"237,82"
"Leeuwarderadeel";"2021";"";"";""
"Leiden";"2021";"124093";"5664";"21,91"
"Leiderdorp";"2021";"27377";"2365";"11,58"
"Leidschendam";"2021";"";"";""
"Leidschendam-Voorburg";"2021";"76433";"2348";"32,55"
"Lelystad";"2021";"79811";"347";"230,32"
"Lemsterland";"2021";"";"";""
"Leudal";"2021";"36045";"222";"162,73"
"Leusden";"2021";"30544";"522";"58,54"
"Lichtenvoorde";"2021";"";"";""
"Liemeer";"2021";"";"";""
"Liempde";"2021";"";"";""
"Lienden";"2021";"";"";""
"De Lier";"2021";"";"";""
"Lieshout";"2021";"";"";""
"Liesveld";"2021";"";"";""
"Limmen";"2021";"";"";""
"Lingewaal";"2021";"";"";""
"Lingewaard";"2021";"46822";"755";"62,00"
"Lisse";"2021";"22982";"1465";"15,69"
"Lith";"2021";"";"";""
"Littenseradiel";"2021";"";"";""
"Lochem";"2021";"33948";"159";"213,03"
"Loenen";"2021";"";"";""
"Loon op Zand";"2021";"23504";"471";"49,94"
"Loosdrecht";"2021";"";"";""
"Lopik";"2021";"14456";"191";"75,57"
"Loppersum";"2021";"";"";""
"Losser";"2021";"22888";"232";"98,76"
"Luyksgestel";"2021";"";"";""
"Maarheeze";"2021";"";"";""
"Maarn";"2021";"";"";""
"Maarssen";"2021";"";"";""
"Maartensdijk";"2021";"";"";""
"Maasbracht";"2021";"";"";""
"Maasbree";"2021";"";"";""
"Maasdonk";"2021";"";"";""
"Maasdriel";"2021";"25452";"385";"66,11"
"Maasgouw";"2021";"23947";"524";"45,71"
"Maasland";"2021";"";"";""
"Maassluis";"2021";"33567";"3960";"8,48"
"Maastricht";"2021";"120227";"2147";"55,99"
"Made";"2021";"";"";""
"Made en Drimmelen";"2021";"";"";""
"Margraten";"2021";"";"";""
"Mariekerke";"2021";"";"";""
"Markelo";"2021";"";"";""
"De Marne";"2021";"";"";""
"Marum";"2021";"";"";""
"Maurik";"2021";"";"";""
"Medemblik";"2021";"45165";"372";"121,42"
"Meerlo-Wanssum";"2021";"";"";""
"Meerssen";"2021";"18661";"692";"26,96"
"Meierijstad";"2021";"81647";"444";"184,09"
"Meijel";"2021";"";"";""
"Menaldumadeel";"2021";"";"";""
"Menameradiel";"2021";"";"";""
"Menterwolde";"2021";"";"";""
"Meppel";"2021";"34386";"619";"55,53"
"Middelburg (Z.)";"2021";"48964";"1011";"48,42"
"Middelharnis";"2021";"";"";""
"Midden-Delfland";"2021";"19414";"411";"47,19"
"Midden-Drenthe";"2021";"33381";"98";"340,51"
"Midden-Groningen";"2021";"60726";"217";"280,00"
"Middenschouwen";"2021";"";"";""
"Middenveld";"2021";"";"";""
"Mierlo";"2021";"";"";""
"Mill en Sint Hubert";"2021";"11004";"211";"52,23"
"Millingen aan de Rijn";"2021";"";"";""
"Moerdijk";"2021";"37185";"234";"159,15"
"Moergestel";"2021";"";"";""
"Molenlanden";"2021";"44130";"243";"181,73"
"Molenwaard";"2021";"";"";""
"Monster";"2021";"";"";""
"Montferland";"2021";"36031";"341";"105,70"
"Montfoort";"2021";"13896";"370";"37,57"
"Mook en Middelaar";"2021";"7909";"455";"17,38"
"Moordrecht";"2021";"";"";""
"Muiden";"2021";"";"";""
"Naaldwijk";"2021";"";"";""
"Naarden";"2021";"";"";""
"Neder-Betuwe";"2021";"24648";"411";"59,98"
"Nederhorst den Berg";"2021";"";"";""
"Nederlek";"2021";"";"";""
"Nederweert";"2021";"17171";"172";"99,98"
"Neede";"2021";"";"";""
"Neerijnen";"2021";"";"";""
"Niedorp";"2021";"";"";""
"Nieuwegein";"2021";"63866";"2717";"23,51"
"Nieuwerkerk aan den IJssel";"2021";"";"";""
"Nieuw-Ginneken";"2021";"";"";""
"Nieuwkoop";"2021";"29151";"373";"78,05"
"Nieuw-Lekkerland";"2021";"";"";""
"Nieuwleusen";"2021";"";"";""
"Nieuw-Vossemeer";"2021";"";"";""
"Nijefurd";"2021";"";"";""
"Nijeveen";"2021";"";"";""
"Nijkerk";"2021";"43600";"629";"69,34"
"Nijmegen";"2021";"177359";"3341";"53,09"
"Nissewaard";"2021";"85440";"1161";"73,58"
"Noardeast-Fryslân";"2021";"45481";"120";"377,83"
"Noord-Beveland";"2021";"7581";"88";"85,96"
"Noordenveld";"2021";"31214";"157";"199,41"
"Noorder-Koggenland";"2021";"";"";""
"Noordoostpolder";"2021";"47583";"104";"458,17"
"Noordwijk";"2021";"44062";"755";"58,37"
"Noordwijkerhout";"2021";"";"";""
"Nootdorp";"2021";"";"";""
"Norg";"2021";"";"";""
"Nuenen, Gerwen en Nederwetten";"2021";"23702";"703";"33,71"
"Nunspeet";"2021";"28021";"218";"128,74"
"Nuth";"2021";"";"";""
"Obdam";"2021";"";"";""
"Odoorn";"2021";"";"";""
"Oegstgeest";"2021";"25064";"3430";"7,31"
"Oirschot";"2021";"18842";"185";"101,78"
"Oisterwijk";"2021";"32373";"404";"80,11"
"Oldambt";"2021";"38277";"169";"226,66"
"Oldebroek";"2021";"23760";"243";"97,65"
"Oldenzaal";"2021";"31701";"1471";"21,55"
"Olst";"2021";"";"";""
"Olst-Wijhe";"2021";"18361";"161";"113,84"
"Ommen";"2021";"18295";"102";"179,90"
"Onderbanken";"2021";"";"";""
"Oost Gelre";"2021";"29574";"269";"109,93"
"Oost-, West- en Middelbeers";"2021";"";"";""
"Oostburg";"2021";"";"";""
"Oosterhesselen";"2021";"";"";""
"Oosterhout";"2021";"56206";"786";"71,47"
"Oostflakkee";"2021";"";"";""
"Ooststellingwerf";"2021";"25464";"114";"223,42"
"Oostzaan";"2021";"9689";"841";"11,53"
"Ootmarsum";"2021";"";"";""
"Opmeer";"2021";"12009";"289";"41,50"
"Opsterland";"2021";"29812";"133";"224,40"
"Oss";"2021";"92526";"567";"163,16"
"Ossendrecht";"2021";"";"";""
"Oud en Nieuw Gastel";"2021";"";"";""
"Oud-Beijerland";"2021";"";"";""
"Oude IJsselstreek";"2021";"39346";"289";"136,15"
"Oudenbosch";"2021";"";"";""
"Ouder-Amstel";"2021";"14125";"587";"24,08"
"Ouderkerk";"2021";"";"";""
"Oudewater";"2021";"10138";"261";"38,90"
"Overbetuwe";"2021";"48214";"442";"109,19"
"Papendrecht";"2021";"32171";"3418";"9,41"
"Peel en Maas";"2021";"43660";"274";"159,37"
"Peize";"2021";"";"";""
"Pekela";"2021";"12176";"248";"49,04"
"Pijnacker";"2021";"";"";""
"Pijnacker-Nootdorp";"2021";"55674";"1501";"37,08"
"Prinsenbeek";"2021";"";"";""
"Purmerend";"2021";"81683";"3528";"23,15"
"Putte";"2021";"";"";""
"Putten";"2021";"24365";"286";"85,22"
"Raalte";"2021";"37911";"222";"170,99"
"Raamsdonk";"2021";"";"";""
"Ravenstein";"2021";"";"";""
"Reeuwijk";"2021";"";"";""
"Reiderland";"2021";"";"";""
"Reimerswaal";"2021";"22896";"225";"101,80"
"Renkum";"2021";"31417";"684";"45,95"
"Renswoude";"2021";"5556";"302";"18,40"
"Reusel";"2021";"";"";""
"Reusel-De Mierden";"2021";"13127";"169";"77,88"
"Rheden";"2021";"43525";"532";"81,74"
"Rhenen";"2021";"20203";"480";"42,08"
"Ridderkerk";"2021";"46671";"1968";"23,72"
"Riethoven";"2021";"";"";""
"Rijnsburg";"2021";"";"";""
"Rijnwaarden";"2021";"";"";""
"Rijnwoude";"2021";"";"";""
"Rijsbergen";"2021";"";"";""
"Rijssen";"2021";"";"";""
"Rijssen-Holten";"2021";"38204";"406";"94,13"
"Rijswijk (ZH.)";"2021";"55220";"3956";"13,96"
"Roden";"2021";"";"";""
"Roerdalen";"2021";"20580";"233";"88,21"
"Roermond";"2021";"58763";"966";"60,81"
"Roggel en Neer";"2021";"";"";""
"Rolde";"2021";"";"";""
"De Ronde Venen";"2021";"44720";"448";"99,92"
"Roosendaal";"2021";"77200";"725";"106,50"
"Roosendaal en Nispen";"2021";"";"";""
"Rosmalen";"2021";"";"";""
"Rossum";"2021";"";"";""
"Rotterdam";"2021";"651631";"2995";"217,55"
"Rozenburg";"2021";"";"";""
"Rozendaal";"2021";"1726";"62";"27,90"
"Rucphen";"2021";"23080";"358";"64,41"
"Ruinen";"2021";"";"";""
"Ruinerwold";"2021";"";"";""
"Ruurlo";"2021";"";"";""
"Sas van Gent";"2021";"";"";""
"Sassenheim";"2021";"";"";""
"Schagen";"2021";"46532";"277";"168,25"
"Scheemda";"2021";"";"";""
"Schermer";"2021";"";"";""
"Scherpenzeel";"2021";"10128";"735";"13,79"
"Schiedam";"2021";"79279";"4448";"17,82"
"Schiermonnikoog";"2021";"931";"23";"40,76"
"Schijndel";"2021";"";"";""
"Schinnen";"2021";"";"";""
"Schipluiden";"2021";"";"";""
"Schoonebeek";"2021";"";"";""
"Schoonhoven";"2021";"";"";""
"Schoorl";"2021";"";"";""
"Schouwen-Duiveland";"2021";"34065";"148";"229,65"
"Sevenum";"2021";"";"";""
"Simpelveld";"2021";"10477";"654";"16,03"
"Sint Anthonis";"2021";"11691";"118";"99,27"
"Sint-Michielsgestel";"2021";"29498";"505";"58,38"
"Sint-Oedenrode";"2021";"";"";""
"Sittard";"2021";"";"";""
"Sittard-Geleen";"2021";"91743";"1161";"79,01"
"Skarsterlân";"2021";"";"";""
"Sleen";"2021";"";"";""
"Sliedrecht";"2021";"25597";"1994";"12,84"
"Slochteren";"2021";"";"";""
"Sluis";"2021";"23166";"83";"279,36"
"Sluis-Aardenburg";"2021";"";"";""
"Smallingerland";"2021";"56040";"478";"117,31"
"Smilde";"2021";"";"";""
"Sneek";"2021";"";"";""
"Soest";"2021";"46906";"1014";"46,24"
"Someren";"2021";"19428";"242";"80,27"
"Son en Breugel";"2021";"17552";"676";"25,95"
"Spijkenisse";"2021";"";"";""
"Sprang-Capelle";"2021";"";"";""
"St. Anthonis";"2021";"";"";""
"Stad Delden";"2021";"";"";""
"Stadskanaal";"2021";"31754";"270";"117,64"
"Standdaarbuiten";"2021";"";"";""
"Staphorst";"2021";"17261";"129";"133,99"
"Stede Broec";"2021";"21743";"1500";"14,50"
"Steenbergen";"2021";"24310";"166";"146,43"
"Steenderen";"2021";"";"";""
"Steenwijk";"2021";"";"";""
"Steenwijkerland";"2021";"44341";"154";"288,27"
"Stein (L.)";"2021";"24875";"1180";"21,08"
"Stichtse Vecht";"2021";"65108";"678";"96,10"
"Stramproy";"2021";"";"";""
"Strijen";"2021";"";"";""
"Súdwest-Fryslân";"2021";"89999";"172";"523,01"
"Susteren";"2021";"";"";""
"Swalmen";"2021";"";"";""
"Tegelen";"2021";"";"";""
"Terheijden";"2021";"";"";""
"Terneuzen";"2021";"54463";"218";"250,38"
"Terschelling";"2021";"4870";"57";"85,26"
"Teteringen";"2021";"";"";""
"Texel";"2021";"13656";"84";"162,00"
"Teylingen";"2021";"37791";"1331";"28,38"
"Tholen";"2021";"26085";"178";"146,71"
"Thorn";"2021";"";"";""
"Tiel";"2021";"41920";"1275";"32,88"
"Tilburg";"2021";"221947";"1762";"125,96"
"Tubbergen";"2021";"21315";"145";"147,00"
"Twenterand";"2021";"33699";"317";"106,17"
"Tynaarlo";"2021";"33978";"238";"143,00"
"Tytsjerksteradiel";"2021";"32060";"215";"148,86"
"Ubbergen";"2021";"";"";""
"Uden";"2021";"42291";"631";"67,00"
"Udenhout";"2021";"";"";""
"Uitgeest";"2021";"13632";"711";"19,16"
"Uithoorn";"2021";"30206";"1665";"18,14"
"Urk";"2021";"21227";"1614";"13,15"
"Utrecht (gemeente)";"2021";"359370";"3830";"93,83"
"Utrechtse Heuvelrug";"2021";"49946";"378";"132,01"
"Vaals";"2021";"10084";"422";"23,89"
"Valburg";"2021";"";"";""
"Valkenburg (ZH.)";"2021";"";"";""
"Valkenburg aan de Geul";"2021";"16365";"446";"36,73"
"Valkenisse";"2021";"";"";""
"Valkenswaard";"2021";"31221";"569";"54,92"
"Veendam";"2021";"27417";"361";"76,00"
"Veenendaal";"2021";"66912";"3438";"19,46"
"Veere";"2021";"21953";"166";"132,56"
"Veghel";"2021";"";"";""
"Veldhoven";"2021";"45500";"1436";"31,69"
"Velsen";"2021";"68617";"1518";"45,20"
"Venhuizen";"2021";"";"";""
"Venlo";"2021";"101988";"821";"124,25"
"Venray";"2021";"43713";"268";"163,27"
"Vessem, Wintelre en Knegsel";"2021";"";"";""
"Vianen";"2021";"";"";""
"Vierlingsbeek";"2021";"";"";""
"Vijfheerenlanden";"2021";"57829";"395";"146,41"
"Vlaardingen";"2021";"73924";"3137";"23,57"
"Vlagtwedde";"2021";"";"";""
"Vledder";"2021";"";"";""
"Vleuten-De Meern";"2021";"";"";""
